params1,params2
-0.13111588,0.02329173
-0.21814154,0.13956551
0.25911894,0.0797183
0.25299466,0.042919453
0.32087955,-0.003858521
-0.28490576,0.06791835
-0.25720242,0.05938951
0.22145271,0.013455643
0.13527714,0.0022682303
0.27257922,0.07969368
-0.23620075,-0.0018137874
-0.25708327,0.002870774
0.1462434,-0.064209975
0.16260612,0.07181175
0.33797827,-0.03418391
-0.13639908,0.015668472
-0.02580992,0.071227595
0.024966445,0.0045884512
0.07542636,-0.045403514
0.27428156,0.018642647
-0.123831175,0.07898817
-0.0006567313,0.025613645
0.17188938,0.15700097
0.1713341,-0.032882605
0.34455654,-0.035022162
-0.096345074,0.15244633
-0.1191081,0.07843309
0.19812098,0.15977444
0.3130657,0.15666033
0.4549746,-0.0032940703
-0.2805282,0.10075187
-0.27417937,-0.048008043
0.41860405,0.037817225
0.32242507,0.023158552
0.46062782,-0.01132896
-0.28947103,0.086346984
-0.39943635,0.03313157
0.49102542,-0.06479655
0.42244133,0.040549155
0.6808979,0.06514201
-0.40573665,-0.020413807
-0.36744314,-0.02133245
0.50298434,-0.011063365
0.48790485,-0.0649146
0.7428623,-0.0065545295
-0.42283753,0.03506111
-0.5709626,0.045600988
0.5554992,0.028048629
0.5376581,0.07807468
0.7067885,0.14684732
-0.5658668,0.08325354
-0.53547966,0.061227456
0.6788531,-0.021039924
0.55470204,-0.016843796
0.7287502,-0.030337883
-0.51521695,0.008480869
-0.5584254,0.09437944
0.6402457,0.054602005
0.45796782,-0.08923638
0.67236453,-0.08105145
-0.6610353,-0.04966372
-0.5396891,-0.0023425524
0.616427,0.08181697
0.47756276,0.05504316
0.78042364,-0.073942475
-0.6259012,-0.0711579
-0.5786892,0.08777592
0.5842641,-0.07788616
0.5210164,0.016927395
0.72968113,-0.0952911
-0.5395692,0.033754386
-0.58562297,-0.025784101
0.679673,0.051042847
0.42490056,-0.031006353
0.70883155,0.064157456
-0.52015394,0.11988361
-0.62204516,0.049324095
0.55357116,0.040971592
0.41924632,-0.00023439474
0.67525697,-0.04895922
-0.57545084,-0.013373401
-0.54205513,0.06413687
0.5078251,-0.07648311
0.47758842,-0.004690969
0.582026,-0.041037675
-0.54038113,0.04758851
-0.541238,-0.033006236
0.4852667,0.00029413344
0.39793244,0.036747497
0.73378265,-0.048978873
-0.5992907,-0.05060109
-0.54664505,0.019203171
0.5931281,0.04615179
0.5674331,-0.07104922
0.624114,-0.039854772
-0.65238893,0.0056460854
-0.71259767,-0.016569069
0.57422173,0.045796867
0.46813846,-0.029224003
0.5406257,0.093159124
-0.525243,0.08691936
-0.62024933,0.043017272
0.5142359,-0.0021789854
0.3359217,0.07772909
0.4396114,-0.08287309
-0.25136903,-0.07717406
-0.6281796,-0.095029525
